City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Djougou,BJ,2020-07-07 21:51:55,9.71,1.67,73.4,94,40,11.41
194,Arraial Do Cabo,BR,2020-07-07 21:51:05,-22.97,-42.03,73.4,83,0,9.17
195,Iqaluit,CA,2020-07-07 21:51:55,63.75,-68.51,51.8,81,40,6.93
196,Berezovyy,RU,2020-07-07 21:51:55,51.67,135.7,52.16,89,100,6.64
197,Victoria,HK,2020-07-07 21:48:58,22.29,114.16,84.0,79,100,11.01
198,Chicama,PE,2020-07-07 21:51:55,-7.84,-79.15,67.75,67,8,10.29
199,Pacific Grove,US,2020-07-07 21:49:23,36.62,-121.92,69.8,59,1,13.87
200,Castro,BR,2020-07-07 21:51:56,-24.79,-50.01,60.96,81,71,7.65
201,Margate,GB,2020-07-07 21:51:56,51.38,1.39,63.0,67,100,1.99
202,Naze,JP,2020-07-07 21:51:56,28.37,129.48,82.4,94,75,18.34
203,Kerur,IN,2020-07-07 21:49:02,16.02,75.57,73.9,85,86,12.73
204,Korla,CN,2020-07-07 21:51:53,41.76,86.15,79.0,71,0,1.01
205,Torbay,CA,2020-07-07 21:51:56,47.67,-52.73,55.99,66,20,11.41
206,Lata,PT,2020-07-07 21:51:56,40.16,-8.33,73.0,71,54,1.99
207,Chistogorskiy,RU,2020-07-07 21:51:56,53.98,87.38,57.18,91,99,1.03
208,Mahebourg,MU,2020-07-07 21:51:56,-20.41,57.7,71.6,94,75,11.41
209,Soeng Sang,TH,2020-07-07 21:51:57,14.43,102.46,73.24,90,92,3.47
210,Barranca,PE,2020-07-07 21:49:09,-10.75,-77.77,62.96,78,44,11.21
211,Guiratinga,BR,2020-07-07 21:51:57,-16.35,-53.76,73.81,42,0,2.01
212,Yarada,IN,2020-07-07 21:51:57,17.65,83.27,82.4,88,40,4.7
213,Macamic,CA,2020-07-07 21:51:57,48.75,-79.0,78.8,69,75,8.05
214,Kasane,BW,2020-07-07 21:51:57,-17.82,25.15,53.15,57,0,5.35
215,Souillac,MU,2020-07-07 21:51:58,-20.52,57.52,71.6,94,75,11.41
216,Zinder,NE,2020-07-07 21:51:58,13.81,8.99,85.03,48,85,20.11
217,Kungurtug,RU,2020-07-07 21:51:58,50.6,97.52,50.95,86,95,2.46
218,Dhidhdhoo,MV,2020-07-07 21:51:58,6.88,73.1,82.8,75,62,7.16
219,Leningradskiy,RU,2020-07-07 21:51:58,69.38,178.42,46.02,74,94,5.73
